dancer_id,wins_2025,wins_total,dancer_name
26366,1,1,Gary Knox
26372,1,1,Katie Evers
26376,1,1,Dennis Horsch
26386,1,1,Isabelle Eras
26397,1,1,Calvin Hoe
26405,1,1,Kylia Ingraffia
26414,1,1,Ryan Brenneman
26421,1,1,Lily Varnado
26426,1,1,Stephanie Lindholm
26433,1,1,Seth Lowery
26435,1,1,Emily Hayes
23691,1,1,Matt Harris
22783,1,2,Emily Straight
23676,1,2,Taylor Jarrels
17622,1,1,Marie Caremantrant
17901,1,3,Henry Leonard
17863,1,3,Rohit Venugopal
17852,1,1,Julie Ringstad Larsen
17780,1,3,Rose Soiland
17635,1,4,Benjamin Artz
17625,1,4,Anna Khomyn
17577,1,4,Laura Clark
23667,1,1,Cali Corkran
17566,1,10,Julia Leonard
17565,1,2,Alicia Couturier
17531,1,5,Laura Trethewey
17518,1,1,Grace McDonald
17482,1,3,Panu Pesonen
17470,1,3,Antony Hamer
17934,1,1,Fiona Callaghan
17943,1,2,Alexandre Zaag
17954,1,4,Tobias Gerwald
17970,1,3,Allison Brown
18019,1,1,Sandy Gay
18025,1,3,Sam Lingane
18036,1,2,Franz Magen
18091,1,5,Marie-Pascale Cote
18119,1,1,Lorenzo Garcia
18133,1,1,Joan Kim
18139,1,7,Emily Hung
18152,1,1,Maxime Bonelli
18180,1,2,Gabriella Lakó
18236,1,1,Markus Pommermayr
18276,1,2,Maya Sigl
18352,1,1,Philippe Leger
18359,1,2,Jennifer Liu
17416,1,1,Mars McNally
17415,1,2,Tina Lin
17407,1,4,Annamaria Mezei
16961,1,5,Johnny Lee
16367,1,2,Vanessa Vitiello
16492,1,1,Taylor Carew
16514,1,2,Miroslav Paulik
16538,1,2,Wilson Huang
16588,1,3,Cecil Pham
16606,1,2,Magdalena Bosiacka
16609,1,1,Daniel Klein
16632,1,1,Anastasia Andreeva
16681,1,1,Tikwiza Nkowane
16722,1,6,Alexa Partos
16824,1,8,Shawn McGettigan
16867,1,4,Max Wakeham
16924,1,1,Elizaveta Romanova
16956,1,3,Moojin Lee
16977,1,8,Marine Le Dudal
17399,1,2,Sanmit Narvekar
16989,1,2,Souraya Lorenz
17065,1,5,Renee Wasko
17070,1,3,Luke Reeves
17099,1,2,Taras Petrenko
17121,1,4,Chloe Martial
17143,1,1,Lilian Chia
17192,1,4,Kaley Thompson
17230,1,3,Lindsay Becerra
17254,1,6,Vanessa Bachmann
17255,1,2,Florian Höhner
17309,1,3,Blake Kirby
17317,1,3,Cameron Riddle
17323,1,4,Robin Larsson
17332,1,2,Peter Aho
18386,1,2,Simon Pannek
18397,1,2,Amandine Royer
18425,1,1,Liz Dewald
19846,1,2,Meg Raymer-Brown
19407,1,1,Heather Nelson
19421,1,3,Tze Chao Chiam
19425,1,1,Luke Lebrasse
19435,1,2,Korinthian Gaines
19451,1,1,Hyunhee Lee
19485,1,2,Michael Warner
19555,1,3,Christopher Bernard
19577,1,1,Arina Fedorova
19594,1,2,Carisa Kozicki
19671,1,1,Shalyn Palmateer
19732,1,2,Alena Muñoz Sánchez
19773,1,1,Rupert Smith
19785,1,1,Malin Kloo
19811,1,1,Ludovic Monier
19885,1,1,Jessica Cox
19334,1,4,Emma Brillantes
19953,1,1,Doug Kim
19969,1,1,Fumiko Naka Jenkins
19970,1,3,Kristina Yiannopoulos
19982,1,7,Olga Aziattseva
20021,1,2,Zoe Boling
20050,1,2,Britney Porter
20078,1,5,Matthew Mueller
2008,1,6,Virginie Grondin
20111,1,5,Olivier Yoo
20112,1,2,Vladimir Geneste-Samissoff
20113,1,5,Mel Verduci
20116,1,3,Lisa Moinault
20118,1,2,Camille West
20122,1,4,Ornella Ortola
19387,1,2,Szidónia Tófalvi
19333,1,3,Corey Brillantes
18442,1,1,Anne Brade
18794,1,2,Anna Suzuki
18446,1,2,Cedric Le Franc
18451,1,10,Jonathan Wolfgram
18493,1,2,Emilia Reitamo
18501,1,2,Anton Drummond
18511,1,4,Kyle Eckman
18519,1,2,Megan Souza
18546,1,6,Marine Moinault
18553,1,1,Alice Delamare
18575,1,2,Seth Hostetler
18644,1,3,James Debacker
18653,1,3,Mirabella Gibson
18684,1,4,Samuel Cariou-Salaun
18720,1,2,Sonia Trave
18740,1,2,Miguel Gonzales
18800,1,2,Samantha Tan
19292,1,2,Lewis Poulsen
18976,1,3,Julian Lee
19003,1,1,Canan Klingseisen
